Year,ARG,AUS,BRA,CAN,CHI,FRA,GER,IND,INDO,ITA,JAP,KOR,MEX,RUS,SOAFR,TUR,UK,US
1991,1.716716965,0.032226799,4.327846016,0.056152344,0.035566857,0.032169347,,0.138702461,0.094161315,0.063,0.0329806,0.093,0.226615118,,0.153347732,0.659694214,0.075326493,0.04234964
1992,0.248999486,0.009859155,9.516484599,0.015058451,0.063539813,0.02365765,0.050773301,0.117878193,0.075257357,0.050799624,0.017073587,0.063063063,0.155085445,,0.138747021,0.700727911,0.042615485,0.030288197
1993,0.106114941,0.018131102,19.27983498,0.01841369,0.146100786,0.021060104,0.044349763,0.063620387,0.096877855,0.044762757,0.012674165,0.047457627,0.097515306,8.746218469,0.097174466,0.660970826,0.025065003,0.02951657
1994,0.041773472,0.018949772,20.75887182,0.001852798,0.242573411,0.016608729,0.027445526,0.102115003,0.085184972,0.040274207,0.006879403,0.062567422,0.069657781,3.076344092,0.089385475,1.062627286,0.019784903,0.026074416
1995,0.033761169,0.046381358,0.660078763,0.021682291,0.16789452,0.017781155,0.017236711,0.102248876,0.094320546,0.052443712,-0.001234771,0.044796954,0.34999275,1.974713847,0.086804253,0.881077026,0.026564521,0.028054197
1996,0.001556959,0.026124197,0.157574361,0.015705311,0.083128472,0.020047782,0.01446061,0.089771491,0.079684802,0.039745243,0.001318718,0.049234292,0.343776582,0.477416667,0.073541259,0.803469028,0.02481101,0.029312042
1997,0.005272583,0.002504174,0.069253169,0.016212164,0.027871134,0.012219959,0.018801924,0.071642536,0.062298962,0.020431055,0.017614618,0.044468695,0.206264843,0.147667663,0.085977702,0.857332416,0.017779459,0.023376899
1998,0.009203365,0.008534555,0.031985919,0.009959425,-0.008495434,0.005952381,0.009356223,0.132308409,0.583870872,0.019629397,0.006632694,0.075120804,0.15927995,0.276748415,0.068805528,0.846413357,0.01588924,0.015522791
1999,-0.011668955,0.014654283,0.048579662,0.01734843,-0.013585142,0.005333778,0.005697763,0.04669821,0.204891175,0.016556291,-0.003294496,0.008114477,0.165856051,0.857417815,0.051814907,0.648674792,0.013354066,0.021880272
2000,-0.009359394,0.044751831,0.070447025,0.0271944,0.002565183,0.016994114,0.014713343,0.04009434,0.03720024,0.025193183,-0.006530152,0.022653332,0.094950191,0.207763409,0.053389533,0.549153824,0.007852694,0.033768573
2001,-0.010666355,0.043808411,0.068378308,0.025251201,0.007198081,0.016302576,0.019838569,0.036848073,0.115020925,0.027878162,-0.007400555,0.040664196,0.063625003,0.21457865,0.057019006,0.54400184,0.012358947,0.028261711
2002,0.258684979,0.030031711,0.084502207,0.022583944,-0.007667195,0.019169073,0.014208067,0.043921997,0.118787564,0.024610748,-0.00923494,0.027625114,0.050310895,0.157920011,0.091640379,0.449641236,0.012561925,0.015860316
2003,0.134428493,0.027707352,0.147153258,0.027585632,0.011645176,0.021090737,0.010342234,0.038058659,0.065857192,0.026764706,-0.002565418,0.035148792,0.045481379,0.136797204,0.058589799,0.252963679,0.013629215,0.02270095
2004,0.044157179,0.023436123,0.065991248,0.018572587,0.038888157,0.021348748,0.016657361,0.037672385,0.062435209,0.022152201,-8.57E-05,0.035905914,0.046882829,0.108609548,0.013853818,0.105842362,0.013445958,0.026772367
2005,0.096393995,0.026687328,0.068673496,0.02213552,0.018139952,0.017355871,0.015469108,0.042463533,0.104519566,0.019990659,-0.002829461,0.027540902,0.039880607,0.126833396,0.033992999,0.101384049,0.020496683,0.033927468
2006,0.109011245,0.035384873,0.041836805,0.020020254,0.014660783,0.016837265,0.015774292,0.061455224,0.131094153,0.020697866,0.002493551,0.022418471,0.036294632,0.096871089,0.046416249,0.095972421,0.023335278,0.032259441
2007,0.08831413,0.023323615,0.036370279,0.02138384,0.047672106,0.014880735,0.022983406,0.063699967,0.064074485,0.018214446,0.000600395,0.025348469,0.039668496,0.089913282,0.070984198,0.087561809,0.023210359,0.028526725
2008,0.085840138,0.043526432,0.056630985,0.023702707,0.058430242,0.02813915,0.026283831,0.083518164,0.097765852,0.033750441,0.013800789,0.04673796,0.051249817,0.141122278,0.115364508,0.104441284,0.036134989,0.038391003
2009,0.062827743,0.018201122,0.048864084,0.002994668,-0.00700631,0.000880842,0.003127377,0.108773911,0.048135243,0.007501492,-0.013528367,0.027566865,0.052973571,0.116605505,0.0713,0.062509766,0.021662314,-0.003555463
2010,0.107801154,0.028452257,0.050383169,0.017768715,0.03325775,0.015296394,0.011038086,0.119922969,0.051327549,0.015398934,-0.007199794,0.029391814,0.041567278,0.06852354,0.04257416,0.085664442,0.032857143,0.016400434
2011,0.094656863,0.033038502,0.066361987,0.029121351,0.054109181,0.021174868,0.020751729,0.088578453,0.053574996,0.027414382,-0.002676336,0.040258463,0.034073796,0.084352172,0.050004726,0.064718797,0.044842396,0.031568416
2012,0.10030259,0.017627802,0.054019648,0.015156782,0.026430518,0.019556855,0.020084912,0.093124456,0.04279512,0.030413625,-0.000519391,0.021872212,0.041115085,0.050868296,0.05653583,0.0889157,0.028217097,0.020693373
2013,0.10619433,0.024498886,0.062018996,0.009382919,0.02628086,0.008636069,0.015047223,0.109076433,0.064133868,0.012199921,0.003464403,0.013013771,0.038063898,0.067417374,0.057515337,0.074930903,0.025545467,0.014648327
2014,,0.024879227,0.063320923,0.019066359,0.020003449,0.005077007,0.00906797,0.066495002,0.063949254,0.002410575,0.027619541,0.012747997,0.040186172,0.078298397,0.060671985,0.088545727,0.014601916,0.01622223
2015,,0.015083667,0.090276013,0.011252414,0.014370245,0.000378037,0.002344299,0.049069734,0.063631211,0.000387868,0.007895179,0.007069629,0.027206413,0.155263325,0.04588271,0.076708536,0.000500208,0.001186271
2016,,0.012769909,0.087394785,0.014287595,0.02,0.001833349,0.004833554,0.049414472,0.035258052,-0.001233354,-0.001166667,0.0097,0.028217078,0.070497663,0.063262638,0.077751342,0.006416132,0.012615832
