Year,ARG,AUS,BRA,CAN,CHI,FRA,GER,IND,INDO,ITA,JAP,KOR,MEX,RUS,SOAFR,TUR,UK,US
1991,0.054,0.096,0.057,0.103,0.049,0.091,,0.038,0.026,0.101,0.021,0.024,0.031,,0.201,0.082,0.086,0.068
1992,0.064,0.107,0.064,0.112,0.044,0.102,0.063,0.037,0.027,0.093,0.022,0.025,0.031,,0.2,0.085,0.098,0.075
1993,0.101,0.109,0.06,0.114,0.043,0.113,0.077,0.037,0.031,0.102,0.025,0.029,0.032,0.059,0.2,0.09,0.104,0.069
1994,0.118,0.097,0.061,0.104,0.043,0.126,0.087,0.037,0.034,0.111,0.029,0.025,0.043,0.081,0.2,0.086,0.097,0.061
1995,0.188,0.085,0.06,0.095,0.046,0.118,0.082,0.037,0.037,0.117,0.032,0.021,0.069,0.097,0.169,0.076,0.087,0.056
1996,0.171,0.085,0.068,0.096,0.046,0.124,0.088,0.038,0.04,0.119,0.034,0.021,0.053,0.099,0.21,0.066,0.082,0.054
1997,0.148,0.084,0.077,0.091,0.046,0.126,0.099,0.041,0.047,0.12,0.034,0.026,0.041,0.118,0.229,0.068,0.071,0.049
1998,0.127,0.077,0.089,0.083,0.047,0.121,0.098,0.041,0.055,0.121,0.041,0.07,0.036,0.134,0.25,0.069,0.062,0.045
1999,0.141,0.069,0.096,0.076,0.047,0.12,0.089,0.041,0.063,0.117,0.047,0.063,0.025,0.135,0.254,0.077,0.06,0.042
2000,0.15,0.063,0.098,0.068,0.045,0.102,0.079,0.043,0.061,0.108,0.047,0.044,0.026,0.106,0.233,0.065,0.056,0.04
2001,0.173,0.067,0.094,0.072,0.045,0.086,0.078,0.043,0.059,0.096,0.05,0.04,0.025,0.09,0.254,0.084,0.047,0.047
2002,0.196,0.064,0.091,0.077,0.044,0.087,0.085,0.044,0.063,0.092,0.054,0.033,0.029,0.079,0.272,0.104,0.05,0.058
2003,0.154,0.059,0.097,0.076,0.043,0.083,0.098,0.043,0.062,0.089,0.053,0.036,0.03,0.082,0.271,0.105,0.048,0.06
2004,0.135,0.054,0.089,0.072,0.043,0.089,0.107,0.044,0.067,0.079,0.047,0.037,0.037,0.078,0.247,0.108,0.046,0.055
2005,0.115,0.05,0.093,0.068,0.041,0.085,0.112,0.044,0.077,0.077,0.044,0.037,0.036,0.072,0.238,0.106,0.048,0.051
2006,0.101,0.048,0.084,0.063,0.04,0.085,0.103,0.042,0.076,0.068,0.041,0.035,0.036,0.072,0.226,0.087,0.054,0.046
2007,0.085,0.044,0.081,0.06,0.038,0.077,0.087,0.041,0.081,0.061,0.039,0.032,0.037,0.061,0.223,0.089,0.053,0.046
2008,0.078,0.042,0.076,0.061,0.044,0.071,0.075,0.041,0.072,0.067,0.04,0.032,0.039,0.063,0.224,0.097,0.056,0.058
2009,0.087,0.056,0.083,0.083,0.043,0.087,0.077,0.038,0.061,0.078,0.051,0.036,0.054,0.084,0.235,0.126,0.075,0.093
2010,0.077,0.052,0.073,0.081,0.042,0.089,0.07,0.035,0.056,0.084,0.051,0.037,0.053,0.074,0.247,0.107,0.078,0.096
2011,0.072,0.051,0.067,0.075,0.043,0.088,0.058,0.035,0.052,0.084,0.046,0.034,0.052,0.065,0.247,0.088,0.08,0.09
2012,0.072,0.052,0.072,0.073,0.045,0.094,0.054,0.036,0.045,0.107,0.044,0.032,0.049,0.054,0.247,0.082,0.079,0.081
2013,0.071,0.057,0.07,0.071,0.045,0.099,0.052,0.035,0.043,0.122,0.04,0.031,0.049,0.055,0.246,0.087,0.075,0.074
2014,,0.061,0.067,0.069,0.046,0.103,0.05,0.034,0.041,0.127,0.036,0.035,0.048,0.052,0.249,0.099,0.061,0.062
2015,,0.061,0.084,0.069,0.046,0.104,0.046,0.035,0.045,0.119,0.033,0.036,0.043,0.056,0.252,0.102,0.053,0.053
2016,,0.057,0.116,0.07,0.047,0.101,0.041,0.035,0.041,0.117,0.031,0.037,0.039,0.055,0.266,0.108,0.048,0.049
